,start_hour,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,trip_duration,gender,time_of_day
0,18,40.75466591,-73.99138152,40.74238787,-73.99726235,993,2,Evening and night
1,18,40.71939226,-74.00247214,40.7284186,-73.98713956,581,1,Evening and night
2,19,40.76019252,-73.9912551,40.768254,-73.988639,361,1,Evening and night
3,11,40.74315566,-73.97434726,40.756014,-73.967416,561,2,Mid-day& Afternoon
4,22,40.73028666,-73.9907647,40.72621788,-73.98379855,427,2,Evening and night
5,13,40.73401143,-74.00293877,40.72453734,-73.98185424,639,1,Mid-day& Afternoon
6,10,40.73652889,-74.00618026,40.74334935,-74.00681753,263,1,Mid-day& Afternoon
7,12,40.7606597,-73.98042047,40.770513,-73.988038,666,1,Mid-day& Afternoon
8,16,40.74487634,-73.99529885,40.71739973,-73.98016555,582,1,Evening and night
9,23,40.72317958,-73.99480012,40.71285887,-73.96590294,1250,1,Evening and night
10,2,40.72299208,-73.97995466,40.75849116,-73.95920622,1007,1,Morning hours
11,9,40.749717753,-74.002950346,40.71473993,-74.00910627,1043,1,Mid-day& Afternoon
12,15,40.74444921,-73.98303529,40.7390169121,-74.0026376103,820,1,Mid-day& Afternoon
13,18,40.7489006,-73.97604882,40.75255434,-73.97282625,174,1,Evening and night
14,6,40.7405826,-74.00550867,40.71413089,-73.9970468,1286,1,Morning hours
15,7,40.72740794,-73.98142006,40.74394314,-73.97966069,667,2,Morning hours
16,17,40.74901271,-73.98848395,40.746745,-74.007756,817,1,Evening and night
17,1,40.74290902,-73.97706058,40.72217444,-73.98368779,806,1,Morning hours
18,7,40.7500727,-73.99839279,40.73226398,-73.99852205,624,1,Morning hours
19,20,40.693261,-73.968896,40.7014851,-73.98656928,471,1,Evening and night
20,14,40.73401143,-74.00293877,40.749156,-73.9916,614,1,Mid-day& Afternoon
21,18,40.75797322,-73.96603308,40.74173969,-73.99415556,1202,2,Evening and night
22,9,40.73226398,-73.99852205,40.73261787,-73.99158043,236,1,Mid-day& Afternoon
23,8,40.74765947,-73.98490707,40.7489006,-73.97604882,332,1,Mid-day& Afternoon
24,8,40.68764484,-73.96968902,40.68691865,-73.976682,254,1,Mid-day& Afternoon
25,19,40.73827428,-73.98751968,40.70255088,-73.98940236,143,1,Evening and night
26,10,40.73543934,-73.99453948,40.76461837,-73.98789473,1098,1,Mid-day& Afternoon
27,16,40.71286844,-73.95698119,40.749717753,-74.002950346,2057,1,Evening and night
28,17,40.74487634,-73.99529885,40.71754834,-74.01322069,950,1,Evening and night
29,12,40.76344058,-73.98268129,40.744219,-73.97121214,609,1,Mid-day& Afternoon
30,23,40.74177603,-74.00149746,40.75640548,-73.9900262,580,1,Evening and night
31,14,40.69327018,-73.97703874,40.73652889,-74.00618026,1850,1,Mid-day& Afternoon
32,8,40.76344058,-73.98268129,40.74780373,-73.9734419,532,1,Mid-day& Afternoon
33,21,40.75466591,-73.99138152,40.75022392,-73.97121414,546,1,Evening and night
34,9,40.75645824,-73.99372222,40.749156,-73.9916,337,1,Mid-day& Afternoon
35,21,40.770513,-73.988038,40.72953837,-73.98426726,1515,1,Evening and night
36,19,40.71870987,-74.0090009,40.75188406,-73.97770164,1816,1,Evening and night
37,18,40.752062307,-73.9816324043,40.73912601,-73.97973776,452,1,Evening and night
38,19,40.7652654,-73.98192338,40.71473993,-74.00910627,1780,1,Evening and night
39,11,40.72467721,-73.98783413,40.7606597,-73.98042047,944,2,Mid-day& Afternoon
40,17,40.7047177,-74.00926027,40.70823502,-74.00530063,236,1,Evening and night
41,22,40.72229346,-73.99147535,40.71219906,-73.97948148,958,2,Evening and night
42,7,40.68650065,-73.96563307,40.689888,-73.981013,419,1,Morning hours
43,14,40.73226398,-73.99852205,40.72502876,-73.99069656,477,1,Mid-day& Afternoon
44,11,40.72917025,-73.99810231,40.75527307,-73.98316936,1021,2,Mid-day& Afternoon
45,7,40.76030096,-73.99884222,40.71748752,-74.0104554,1326,2,Morning hours
46,20,40.749717753,-74.002950346,40.74475148,-73.99915362,189,1,Evening and night
47,8,40.770513,-73.988038,40.73624527,-73.98473765,799,1,Mid-day& Afternoon
48,19,40.68317813,-73.9659641,40.70853074,-73.96408963,927,1,Evening and night
49,18,40.72019576,-73.98997825,40.72903917,-73.99404649,549,1,Evening and night
50,8,40.73726186,-73.99238967,40.70905623,-74.01043382,1691,1,Mid-day& Afternoon
51,12,40.74025878,-73.98409214,40.73038599,-74.00214988,841,1,Mid-day& Afternoon
52,18,40.76461837,-73.98789473,40.7423543,-73.98915076,823,2,Evening and night
53,13,40.751396,-74.005226,40.71850211,-73.98329859,651,2,Mid-day& Afternoon
54,16,40.71273266,-74.0046073,40.72710258,-74.00297088,887,2,Evening and night
55,17,40.76344058,-73.98268129,40.69610226,-73.96751037,2262,2,Evening and night
56,20,40.7546011026,-73.971878855,40.7403432,-73.98955109,858,1,Evening and night
57,15,40.73935542,-73.99931783,40.76269882,-73.99301222,957,1,Mid-day& Afternoon
58,7,40.69986937,-73.98271933,40.69246277,-73.98963911,551,1,Morning hours
59,10,40.73781509,-73.99994661,40.73224119,-74.00026394,384,2,Mid-day& Afternoon
60,11,40.69788349,-73.97350332,40.73827428,-73.98751968,685,1,Mid-day& Afternoon
61,11,40.72710258,-74.00297088,40.7218158,-73.99720307,247,1,Mid-day& Afternoon
62,0,40.73532427,-73.99800419,40.72955361,-73.98057249,359,1,Morning hours
63,17,40.69196566,-73.9813018,40.693261,-73.968896,599,2,Evening and night
64,6,40.751551,-73.993934,40.76695317,-73.98169333,660,1,Morning hours
65,18,40.72938685,-73.97772429,40.75795248,-73.97787642,156,1,Evening and night
66,22,40.76269882,-73.99301222,40.768254,-73.988639,247,1,Evening and night
67,12,40.76344058,-73.98268129,40.71893904,-73.99266288,379,1,Mid-day& Afternoon
68,17,40.74317449,-74.00366443,40.75044999,-73.99481051,361,1,Evening and night
69,19,40.75500254,-73.98014437,40.7451677,-73.98683077,317,1,Evening and night
70,17,40.73291553,-74.00711384,40.72917025,-73.99810231,924,1,Evening and night
71,19,40.73314259,-73.97573881,40.75044999,-73.99481051,988,2,Evening and night
72,13,40.73649403,-73.99704374,40.73781509,-73.99994661,137,1,Mid-day& Afternoon
73,8,40.73224119,-74.00026394,40.72917025,-73.99810231,741,2,Mid-day& Afternoon
74,18,40.71782143,-73.97628939,40.71748752,-74.0104554,1108,1,Evening and night
75,18,40.7457121,-73.98194829,40.75714758,-73.97207836,854,1,Evening and night
76,8,40.74315566,-73.97434726,40.75019995,-73.99093085,455,1,Mid-day& Afternoon
77,23,40.74691959,-74.00451887,40.72217444,-73.98368779,1259,1,Evening and night
78,21,40.74394314,-73.97966069,40.72955361,-73.98057249,1030,1,Evening and night
79,15,40.72066442,-73.98517977,40.71427487,-73.98990025,320,1,Mid-day& Afternoon
80,17,40.746647,-73.993915,40.74487634,-73.99529885,218,1,Evening and night
81,11,40.711512,-74.015756,40.71542197,-74.01121978,395,1,Mid-day& Afternoon
82,18,40.73038599,-74.00214988,40.68312489,-73.97895137,1890,1,Evening and night
